,Player,W,T,L,Win %,Total
0,A.J. Feeley,2.0,0.0,8.0,0.2,10.0
1,A.J. McCarron,0.0,0.0,2.0,0.0,2.0
2,Aaron Brooks,10.0,0.0,32.0,0.23809523809523808,42.0
3,Aaron Rodgers,46.0,1.0,50.0,0.4793814432989691,97.0
4,Adrian Breen,0.0,0.0,1.0,0.0,1.0
5,Aidan O'Connell,1.0,0.0,3.0,0.25,4.0
6,Akili Smith,1.0,0.0,10.0,0.09090909090909091,11.0
7,Al Woodall,3.0,0.0,9.0,0.25,12.0
8,Alan Pastrana,0.0,0.0,1.0,0.0,1.0
9,Alan Risher,1.0,0.0,0.0,1.0,1.0
10,Alex Smith,29.0,0.0,45.0,0.3918918918918919,74.0
11,Alex Van Pelt,2.0,0.0,7.0,0.2222222222222222,9.0
12,Andre Ware,0.0,0.0,1.0,0.0,1.0
13,Andrew Luck,19.0,0.0,23.0,0.4523809523809524,42.0
14,Andrew Walter,0.0,0.0,5.0,0.0,5.0
15,Andy Dalton,24.0,1.0,47.0,0.3402777777777778,72.0
16,Anthony Brown,0.0,0.0,1.0,0.0,1.0
17,Anthony Dilweg,0.0,0.0,3.0,0.0,3.0
18,Anthony Richardson,1.0,0.0,2.0,0.3333333333333333,3.0
19,Anthony Wright,1.0,0.0,7.0,0.125,8.0
20,Archie Manning,12.0,2.0,48.0,0.20967741935483872,62.0
21,Art Schlichter,0.0,0.0,4.0,0.0,4.0
22,Austin Davis,1.0,0.0,6.0,0.14285714285714285,7.0
23,Babe Laufenberg,1.0,0.0,1.0,0.5,2.0
24,Babe Parilli,5.0,2.0,7.0,0.42857142857142855,14.0
25,Bailey Zappe,2.0,0.0,2.0,0.5,4.0
26,Baker Mayfield,10.0,0.0,33.0,0.23255813953488372,43.0
27,Bart Starr,10.0,0.0,17.0,0.37037037037037035,27.0
28,Ben Roethlisberger,58.0,0.0,47.0,0.5523809523809524,105.0
29,Bernie Kosar,17.0,1.0,29.0,0.3723404255319149,47.0
30,Bert Jones,11.0,0.0,27.0,0.2894736842105263,38.0
31,Bill Demory,0.0,0.0,2.0,0.0,2.0
32,Bill Kenney,12.0,0.0,23.0,0.34285714285714286,35.0
33,Bill Munson,4.0,1.0,15.0,0.225,20.0
34,Bill Musgrave,0.0,0.0,1.0,0.0,1.0
35,Bill Nelsen,10.0,0.0,12.0,0.45454545454545453,22.0
36,Bill Troup,2.0,0.0,4.0,0.3333333333333333,6.0
37,Billy Joe Hobert,0.0,0.0,4.0,0.0,4.0
38,Billy Joe Tolliver,3.0,0.0,23.0,0.11538461538461539,26.0
39,Billy Kilmer,16.0,0.0,30.0,0.34782608695652173,46.0
40,Billy Volek,0.0,0.0,3.0,0.0,3.0
41,Blaine Gabbert,5.0,0.0,23.0,0.17857142857142858,28.0
42,Blair Kiel,0.0,0.0,2.0,0.0,2.0
43,Blake Bortles,6.0,0.0,32.0,0.15789473684210525,38.0
44,Bob Avellini,5.0,0.0,16.0,0.23809523809523808,21.0
