,Player,W,T,L,Win %,Total,PB,AP1,HoF
0,A.J. Feeley,2.0,0.0,8.0,0.2,10.0,0.0,0.0,N
1,A.J. McCarron,0.0,0.0,2.0,0.0,2.0,0.0,0.0,N
2,Aaron Brooks,10.0,0.0,32.0,0.238095238095238,42.0,0.0,0.0,N
3,Aaron Rodgers,46.0,1.0,50.0,0.4793814432989691,97.0,10.0,4.0,N
4,Adrian Breen,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
5,Aidan O'Connell,1.0,0.0,3.0,0.25,4.0,0.0,0.0,N
6,Akili Smith,1.0,0.0,10.0,0.0909090909090909,11.0,0.0,0.0,N
7,Al Woodall,3.0,0.0,9.0,0.25,12.0,0.0,0.0,N
8,Alan Pastrana,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
9,Alan Risher,1.0,0.0,0.0,1.0,1.0,0.0,0.0,N
10,Alex Smith,29.0,0.0,45.0,0.3918918918918919,74.0,3.0,0.0,N
11,Alex Van Pelt,2.0,0.0,7.0,0.2222222222222222,9.0,0.0,0.0,N
12,Andre Ware,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
13,Andrew Luck,19.0,0.0,23.0,0.4523809523809524,42.0,4.0,0.0,N
14,Andrew Walter,0.0,0.0,5.0,0.0,5.0,0.0,0.0,N
15,Andy Dalton,24.0,1.0,47.0,0.3402777777777778,72.0,3.0,0.0,N
16,Anthony Brown,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
17,Anthony Dilweg,0.0,0.0,3.0,0.0,3.0,0.0,0.0,N
18,Anthony Richardson,1.0,0.0,2.0,0.3333333333333333,3.0,0.0,0.0,N
19,Anthony Wright,1.0,0.0,7.0,0.125,8.0,0.0,0.0,N
20,Archie Manning,12.0,2.0,48.0,0.2096774193548387,62.0,2.0,0.0,N
21,Art Schlichter,0.0,0.0,4.0,0.0,4.0,0.0,0.0,N
22,Austin Davis,1.0,0.0,6.0,0.1428571428571428,7.0,0.0,0.0,N
23,Babe Laufenberg,1.0,0.0,1.0,0.5,2.0,0.0,0.0,N
24,Babe Parilli,5.0,2.0,7.0,0.4285714285714285,14.0,3.0,0.0,N
25,Bailey Zappe,2.0,0.0,2.0,0.5,4.0,0.0,0.0,N
26,Baker Mayfield,10.0,0.0,33.0,0.2325581395348837,43.0,1.0,0.0,N
27,Bart Starr,10.0,0.0,17.0,0.3703703703703703,27.0,4.0,1.0,Y
28,Ben Roethlisberger,58.0,0.0,47.0,0.5523809523809524,105.0,6.0,0.0,N
29,Bernie Kosar,17.0,1.0,29.0,0.3723404255319149,47.0,1.0,0.0,N
30,Bert Jones,11.0,0.0,27.0,0.2894736842105263,38.0,1.0,1.0,N
31,Bill Demory,0.0,0.0,2.0,0.0,2.0,0.0,0.0,N
32,Bill Kenney,12.0,0.0,23.0,0.3428571428571428,35.0,1.0,0.0,N
33,Bill Munson,4.0,1.0,15.0,0.225,20.0,0.0,0.0,N
34,Bill Musgrave,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
35,Bill Nelsen,10.0,0.0,12.0,0.4545454545454545,22.0,1.0,0.0,N
36,Bill Troup,2.0,0.0,4.0,0.3333333333333333,6.0,0.0,0.0,N
37,Billy Joe Hobert,0.0,0.0,4.0,0.0,4.0,0.0,0.0,N
38,Billy Joe Tolliver,3.0,0.0,23.0,0.1153846153846153,26.0,0.0,0.0,N
39,Billy Kilmer,16.0,0.0,30.0,0.3478260869565217,46.0,1.0,0.0,N
40,Billy Volek,0.0,0.0,3.0,0.0,3.0,0.0,0.0,N
41,Blaine Gabbert,5.0,0.0,23.0,0.1785714285714285,28.0,0.0,0.0,N
42,Blair Kiel,0.0,0.0,2.0,0.0,2.0,0.0,0.0,N
43,Blake Bortles,6.0,0.0,32.0,0.1578947368421052,38.0,0.0,0.0,N
44,Bob Avellini,5.0,0.0,16.0,0.238095238095238,21.0,0.0,0.0,N
45,Bob Berry,5.0,2.0,20.0,0.2222222222222222,27.0,1.0,0.0,N
46,Bob Bleier,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
47,Bob Davis,1.0,1.0,5.0,0.2142857142857142,7.0,0.0,0.0,N
48,Bob Gagliano,1.0,0.0,4.0,0.2,5.0,0.0,0.0,N
49,Bob Griese,22.0,1.0,37.0,0.375,60.0,8.0,2.0,Y
50,Bob Lee,4.0,0.0,6.0,0.4,10.0,0.0,0.0,N
51,Bobby Douglass,5.0,0.0,23.0,0.1785714285714285,28.0,0.0,0.0,N
52,Bobby Hebert,17.0,0.0,26.0,0.3953488372093023,43.0,1.0,0.0,N
53,Bobby Hoying,1.0,0.0,5.0,0.1666666666666666,6.0,0.0,0.0,N
54,Bobby Scott,1.0,0.0,7.0,0.125,8.0,0.0,0.0,N
55,Boomer Esiason,29.0,0.0,60.0,0.3258426966292135,89.0,4.0,1.0,N
56,Brad Goebel,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
57,Brad Johnson,20.0,0.0,34.0,0.3703703703703703,54.0,2.0,0.0,N
58,Brad Smith,1.0,0.0,0.0,1.0,1.0,0.0,0.0,N
59,Brady Quinn,1.0,0.0,8.0,0.1111111111111111,9.0,0.0,0.0,N
60,Brandon Allen,0.0,0.0,4.0,0.0,4.0,0.0,0.0,N
61,Brandon Weeden,1.0,0.0,10.0,0.0909090909090909,11.0,0.0,0.0,N
62,Brent Pease,2.0,0.0,1.0,0.6666666666666666,3.0,0.0,0.0,N
63,Brett Favre,58.0,0.0,63.0,0.4793388429752066,121.0,11.0,3.0,Y
64,Brett Hundley,0.0,0.0,6.0,0.0,6.0,0.0,0.0,N
65,Brett Rypien,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
66,Brian Brohm,0.0,0.0,2.0,0.0,2.0,0.0,0.0,N
67,Brian Griese,16.0,0.0,20.0,0.4444444444444444,36.0,1.0,0.0,N
68,Brian Hoyer,5.0,0.0,14.0,0.2631578947368421,19.0,0.0,0.0,N
69,Brian Sipe,15.0,0.0,35.0,0.3,50.0,1.0,1.0,N
70,Brian St. Pierre,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
71,Brock Huard,0.0,0.0,3.0,0.0,3.0,0.0,0.0,N
72,Brock Osweiler,6.0,0.0,8.0,0.4285714285714285,14.0,0.0,0.0,N
73,Brock Purdy,9.0,0.0,3.0,0.75,12.0,1.0,0.0,N
74,Brodie Croyle,0.0,0.0,6.0,0.0,6.0,0.0,0.0,N
75,Brooks Bollinger,0.0,0.0,6.0,0.0,6.0,0.0,0.0,N
76,Browning Nagle,1.0,0.0,6.0,0.1428571428571428,7.0,0.0,0.0,N
77,Bruce Gradkowski,4.0,0.0,6.0,0.4,10.0,0.0,0.0,N
78,Bruce Lemmerman,0.0,0.0,2.0,0.0,2.0,0.0,0.0,N
79,Bruce Mathison,1.0,0.0,3.0,0.25,4.0,0.0,0.0,N
80,Bryce Perkins,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
81,Bryce Petty,0.0,0.0,5.0,0.0,5.0,0.0,0.0,N
82,Bryce Young,1.0,0.0,10.0,0.0909090909090909,11.0,0.0,0.0,N
83,Bubby Brister,7.0,0.0,26.0,0.2121212121212121,33.0,0.0,0.0,N
84,Bucky Richardson,0.0,0.0,2.0,0.0,2.0,0.0,0.0,N
85,Buddy Humphrey,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
86,Byron Leftwich,10.0,0.0,14.0,0.4166666666666667,24.0,0.0,0.0,N
87,C.J. Beathard,0.0,0.0,6.0,0.0,6.0,0.0,0.0,N
88,C.J. Stroud,6.0,0.0,3.0,0.6666666666666666,9.0,1.0,0.0,N
89,Cade McNown,1.0,0.0,10.0,0.0909090909090909,11.0,0.0,0.0,N
90,Cam Newton,22.0,1.0,42.0,0.3461538461538461,65.0,3.0,1.0,N
91,Carlos Brown,0.0,0.0,2.0,0.0,2.0,0.0,0.0,N
92,Carson Palmer,30.0,1.0,57.0,0.3465909090909091,88.0,3.0,0.0,N
93,Carson Wentz,18.0,0.0,31.0,0.3673469387755102,49.0,1.0,0.0,N
94,Cary Conklin,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
95,Case Keenum,12.0,0.0,20.0,0.375,32.0,0.0,0.0,N
96,Chad Henne,5.0,0.0,20.0,0.2,25.0,0.0,0.0,N
97,Chad Hutchinson,0.0,0.0,6.0,0.0,6.0,0.0,0.0,N
98,Chad Pennington,12.0,0.0,24.0,0.3333333333333333,36.0,0.0,0.0,N
99,Charley Johnson,9.0,4.0,25.0,0.2894736842105263,38.0,1.0,0.0,N
100,Charlie Batch,11.0,0.0,19.0,0.3666666666666666,30.0,0.0,0.0,N
101,Charlie Frye,2.0,0.0,9.0,0.1818181818181818,11.0,0.0,0.0,N
102,Charlie Whitehurst,0.0,0.0,4.0,0.0,4.0,0.0,0.0,N
103,Chase Daniel,1.0,0.0,1.0,0.5,2.0,0.0,0.0,N
104,Chris Chandler,14.0,0.0,56.0,0.2,70.0,2.0,0.0,N
105,Chris Miller,14.0,0.0,37.0,0.2745098039215686,51.0,1.0,0.0,N
106,Chris Redman,3.0,0.0,5.0,0.375,8.0,0.0,0.0,N
107,Chris Simms,2.0,0.0,5.0,0.2857142857142857,7.0,0.0,0.0,N
108,Chris Streveler,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
109,Chris Weinke,0.0,0.0,9.0,0.0,9.0,0.0,0.0,N
110,Christian Ponder,4.0,1.0,13.0,0.25,18.0,0.0,0.0,N
111,Chuck Long,0.0,0.0,12.0,0.0,12.0,0.0,0.0,N
112,Clayton Tune,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
113,Cleo Lemon,0.0,0.0,5.0,0.0,5.0,0.0,0.0,N
114,Cliff Olander,1.0,0.0,0.0,1.0,1.0,0.0,0.0,N
115,Cliff Stoudt,2.0,0.0,6.0,0.25,8.0,0.0,0.0,N
116,Clint Longley,1.0,0.0,0.0,1.0,1.0,0.0,0.0,N
117,Cody Carlson,3.0,0.0,6.0,0.3333333333333333,9.0,0.0,0.0,N
118,Cody Kessler,1.0,0.0,7.0,0.125,8.0,0.0,0.0,N
119,Cody Pickett,0.0,0.0,2.0,0.0,2.0,0.0,0.0,N
120,Colin Kaepernick,11.0,0.0,19.0,0.3666666666666666,30.0,0.0,0.0,N
121,Colt McCoy,5.0,0.0,17.0,0.2272727272727272,22.0,0.0,0.0,N
122,Connor Shaw,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
123,Cooper Rush,2.0,0.0,1.0,0.6666666666666666,3.0,0.0,0.0,N
124,Cotton Davidson,0.0,0.0,2.0,0.0,2.0,2.0,0.0,N
125,Craig Erickson,6.0,0.0,14.0,0.3,20.0,0.0,0.0,N
126,Craig Krenzel,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
127,Craig Morton,23.0,0.0,40.0,0.365079365079365,63.0,0.0,0.0,N
128,Craig Whelihan,0.0,0.0,6.0,0.0,6.0,0.0,0.0,N
129,Curtis Painter,0.0,0.0,4.0,0.0,4.0,0.0,0.0,N
130,Dak Prescott,26.0,0.0,29.0,0.4727272727272727,55.0,4.0,0.0,N
131,Damon Huard,5.0,0.0,6.0,0.4545454545454545,11.0,0.0,0.0,N
132,Dan Darragh,1.0,0.0,6.0,0.1428571428571428,7.0,0.0,0.0,N
133,Dan Fouts,25.0,1.0,55.0,0.3148148148148148,81.0,6.0,2.0,Y
134,Dan Manucci,0.0,0.0,1.0,0.0,1.0,0.0,0.0,N
135,Dan Marino,52.0,0.0,63.0,0.4521739130434782,115.0,9.0,3.0,Y
136,Dan McGwire,0.0,0.0,3.0,0.0,3.0,0.0,0.0,N
137,Dan Orlovsky,2.0,0.0,5.0,0.2857142857142857,7.0,0.0,0.0,N
138,Dan Pastorini,18.0,0.0,45.0,0.2857142857142857,63.0,1.0,0.0,N
139,Daniel Jones,5.0,0.0,22.0,0.1851851851851851,27.0,0.0,0.0,N
140,Danny Kanell,3.0,1.0,9.0,0.2692307692307692,13.0,0.0,0.0,N
141,Danny White,19.0,0.0,15.0,0.5588235294117647,34.0,1.0,0.0,N
142,Danny Wuerffel,1.0,0.0,4.0,0.2,5.0,0.0,0.0,N
143,Daryle Lamonica,20.0,2.0,13.0,0.6,35.0,5.0,2.0,N
144,Daunte Culpepper,14.0,0.0,37.0,0.2745098039215686,51.0,3.0,0.0,N
145,Dave Brown,4.0,0.0,23.0,0.1481481481481481,27.0,0.0,0.0,N
146,Dave Krieg,33.0,0.0,50.0,0.3975903614457831,83.0,3.0,0.0,N
147,Dave Mays,0.0,0.0,2.0,0.0,2.0,0.0,0.0,N
148,Dave Walter,1.0,0.0,1.0,0.5,2.0,0.0,0.0,N
